Title,BSR,Price in £ (starting from),Author,ASIN,ISBN-10,ISBN-13,URL
nomen est omen: Die verborgene Botschaft der Vornamen - Von Adam bis Zarah,"610,525",133.90,Joachim Schaffer-Suchomel,3442337771, 3442337771, 978-3442337774,https://www.amazon.co.uk/nomen-est-omen-verborgene-Botschaft/dp/3442337771/ref=sr_1_577?s=books&ie=UTF8&qid=1540479079&sr=1-577&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Dermatology: 2-Volume Set, 4e","711,388",327.59,Jean L. Bolognia MD,0702062758, 9780702062759, 978-0702062759,https://www.amazon.co.uk/Dermatology-2-Jean-L-Bolognia/dp/0702062758/ref=sr_1_575?s=books&ie=UTF8&qid=1540479062&sr=1-575&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Handbook of Bioenergy Economics and Policy: Volume II : Modeling Land Use and Greenhouse Gas Implications: 2 (Natural Resource Management and Policy),"591,989",134.33,Madhu Khanna,1493969048, 9781493969043, 978-1493969043,https://www.amazon.co.uk/Handbook-Bioenergy-Economics-Policy-Implications/dp/1493969048/ref=sr_1_574?s=books&ie=UTF8&qid=1540479062&sr=1-574&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Discrete Mathematics,"684,921",138.64,Richard Johnsonbaugh,0321964683, 0321964683, 978-0321964687,https://www.amazon.co.uk/Discrete-Mathematics-Richard-Johnsonbaugh/dp/0321964683/ref=sr_1_573?s=books&ie=UTF8&qid=1540479062&sr=1-573&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Grass Roots: A History of South Shields Cricket Club 1850?1984,"329,580",156.06,Clive Crickmer,B001RWZM0S,Not available,Not available,https://www.amazon.co.uk/Grass-Roots-History-Shields-Cricket/dp/B001RWZM0S/ref=sr_1_572?s=books&ie=UTF8&qid=1540479062&sr=1-572&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Reconstructive Surgery of the Lower Extremity,"667,835",286.73,Lee Li-Qun Pu MD  PhD,1626236402, 9781626236400, 978-1626236400,https://www.amazon.co.uk/Reconstructive-Surgery-Lower-Extremity-Li-Qun/dp/1626236402/ref=sr_1_569?s=books&ie=UTF8&qid=1540479062&sr=1-569&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Graphene Optoelectronics,"705,501",137.20,Benjamin D'Anjou Et Al. Daniel R. Cooper,1682502368, 1682502368, 978-1682502365,https://www.amazon.co.uk/Graphene-Optoelectronics-Benjamin-DAnjou-Daniel/dp/1682502368/ref=sr_1_568?s=books&ie=UTF8&qid=1540479062&sr=1-568&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
The Palgrave Handbook of Climate History,"690,731",201.66,Sam White,1137430192, 1137430192, 978-1137430199,https://www.amazon.co.uk/Palgrave-Handbook-Climate-History/dp/1137430192/ref=sr_1_567?s=books&ie=UTF8&qid=1540479062&sr=1-567&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Atlas Electroencephalography: Awake and Sleep Eeg; Activation Procedures and Artifacts,"676,074",398.00,Arielle Crespel,274201506X, 274201506X, 978-2742015061,https://www.amazon.co.uk/Atlas-Electroencephalography-Activation-Procedures-Artifacts/dp/274201506X/ref=sr_1_566?s=books&ie=UTF8&qid=1540479062&sr=1-566&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Microfluidic Devices for Biomedical Applications (Woodhead Publishing Series in Biomaterials),"693,984",203.47,Xiujun James Li,0857096974, 0857096974, 978-0857096975,https://www.amazon.co.uk/Microfluidic-Biomedical-Applications-Publishing-Biomaterials/dp/0857096974/ref=sr_1_565?s=books&ie=UTF8&qid=1540479062&sr=1-565&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"The International Law of Investment Claims Preliminary Issues and Awards by Douglas, Zachary ( AUTHOR ) Jun-11-2009 Hardback","558,922",157.34,Zachary Douglas,B0092IZUEW,Not available,Not available,https://www.amazon.co.uk/International-Investment-Preliminary-Jun-11-2009-Hardback/dp/B0092IZUEW/ref=sr_1_559?s=books&ie=UTF8&qid=1540479047&sr=1-559&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
The International Criminal Court and Complementarity 2 Volume Set: From Theory to Practice,"547,939",335.12,Carsten Stahn,1107011582, 1107011582, 978-1107011588,https://www.amazon.co.uk/International-Criminal-Court-Complementarity-Set/dp/1107011582/ref=sr_1_557?s=books&ie=UTF8&qid=1540479047&sr=1-557&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Carpets and Textiles: Thyssen-Bornemisza Collection (The Thyssen-Bornemisza collection),"686,301",278.54,Friedrich Spuhler,0856674966, 0856674966, 978-0856674969,https://www.amazon.co.uk/Carpets-Textiles-Thyssen-Bornemisza-Collection-collection/dp/0856674966/ref=sr_1_554?s=books&ie=UTF8&qid=1540479047&sr=1-554&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
CONDITIONED REFLEX THERAPY: THE DIRECT APPROACH TO THE RECONSTRUCTION OF PERSONALITY.,"605,844",105.07,Andrew. Salter,B0007E0HLG,Not available,Not available,https://www.amazon.co.uk/CONDITIONED-REFLEX-THERAPY-RECONSTRUCTION-PERSONALITY/dp/B0007E0HLG/ref=sr_1_553?s=books&ie=UTF8&qid=1540479047&sr=1-553&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
The Music Profession in Britain Since the Eighteenth-century: A Social History,"415,555",141.00,Cyril Ehrlich,0198226659, 0198226659, 978-0198226659,https://www.amazon.co.uk/Music-Profession-Britain-Since-Eighteenth-century/dp/0198226659/ref=sr_1_551?s=books&ie=UTF8&qid=1540479047&sr=1-551&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
