Title,BSR,Price in £ (starting from),Author,Book TypeASIN,ISBN-10,ISBN-13,URL,
The Mint,"1,469,748",940.92,T.E. Lawrence,Paperback,B0007DY5NI,Not available,Not available,https://www.amazon.co.uk/Mint-T-Lawrence/dp/B0007DY5NI/ref=sr_1_835?s=books&ie=UTF8&qid=1540737210&sr=1-835&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
"Naples, from Roman Town to City-state: An Archaeological Perspective (Archaeological Monographs of the British School at Rome)","1,966,693",789.43,Paul Arthur,Paperback,904152383,904152383,978-0904152388,https://www.amazon.co.uk/Naples-Roman-Town-City-state-Archaeological/dp/0904152383/ref=sr_1_830?s=books&ie=UTF8&qid=1540737192&sr=1-830&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Eduardo Paolozzi,"1,662,013",840.01,Michael Middleton,Paperback,B001AHUW1E,Not available,Not available,https://www.amazon.co.uk/Eduardo-Paolozzi-Michael-Middleton/dp/B001AHUW1E/ref=sr_1_823?s=books&ie=UTF8&qid=1540737192&sr=1-823&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
The Wisdener Manual: The Collectors' Guide to the Yellow Bible,"1,390,003",997.2,Bill Furmedge,Paperback,992614716,992614716,978-0992614713,https://www.amazon.co.uk/Wisdener-Manual-Collectors-Guide-Yellow/dp/0992614716/ref=sr_1_822?s=books&ie=UTF8&qid=1540737192&sr=1-822&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Gramática española (Letras e ideas. Instrumenta),"1,412,332",761.99,Juan Alcina Franch,Paperback,843448319X,843448319X,978-8434483194,https://www.amazon.co.uk/Gram%C3%A1tica-espa%C3%B1ola-Letras-ideas-Instrumenta/dp/843448319X/ref=sr_1_802?s=books&ie=UTF8&qid=1540737177&sr=1-802&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Picturing Jesus: Pack B,"1,579,886",751.99,Latimer Blaylock,Paperback,1904024440,1904024440,978-1904024446,https://www.amazon.co.uk/Picturing-Jesus-Pack-Latimer-Blaylock/dp/1904024440/ref=sr_1_797?s=books&ie=UTF8&qid=1540737159&sr=1-797&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Color Correction Look Book: Creative Grading Techniques for Film and Video (Digital Video & Audio Editing Courses),"590,316",908.39,Alexis Van Hurkman,Paperback,321988183,321988183,978-0321988188,https://www.amazon.co.uk/Color-Correction-Look-Book-Techniques/dp/0321988183/ref=sr_1_794?s=books&ie=UTF8&qid=1540737159&sr=1-794&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Creation Records Discovered in Egypt; (Studies in the Book of the Dead),"1,809,313",894,George St Clair,Paperback,1230260161,1230260161,978-1230260167,https://www.amazon.co.uk/Creation-Records-Discovered-Egypt-Studies/dp/1230260161/ref=sr_1_792?s=books&ie=UTF8&qid=1540737159&sr=1-792&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Virtual Worlds: Culture and Politics in the Age of Cybertechnology,"1,555,588",757.64,Pramod K Nayar,Paperback,761932291,761932291,978-0761932291,https://www.amazon.co.uk/Virtual-Worlds-Culture-Politics-Cybertechnology/dp/0761932291/ref=sr_1_758?s=books&ie=UTF8&qid=1540737126&sr=1-758&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Meet Me by Moonlight: Play,"1,681,103",928.99,Anthony Lesser,Paperback,237491214,237491214,978-0237491215,https://www.amazon.co.uk/Meet-Me-Moonlight-Anthony-Lesser/dp/0237491214/ref=sr_1_750?s=books&ie=UTF8&qid=1540737111&sr=1-750&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
