Title,BSR,Price in £ (starting from),Author,Book TypeASIN,ISBN-10,ISBN-13,URL
My Colorful Town: A Coloring Tour,"541,783","2,736.99",Chiaki Ida,Paperback,1942021593, 1942021593, 978-1942021599,https://www.amazon.co.uk/My-Colorful-Town-Coloring-Tour/dp/1942021593/ref=sr_1_174?s=books&ie=UTF8&qid=1540557788&sr=1-174&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
With Abandon (With or Without),"1,893,694","2,779.99",J. L. Langley,Paperback,1609283198, 1609283198, 978-1609283193,https://www.amazon.co.uk/Abandon-Without-J-L-Langley/dp/1609283198/ref=sr_1_171?s=books&ie=UTF8&qid=1540557788&sr=1-171&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Grail Quest: Realm of Chaos Bk. 6 (A Solo fantasy gamebook),"1,599,667","2,944.99",J.H. Brennan,Paperback,0006924972, 0006924972, 978-0006924975,https://www.amazon.co.uk/Grail-Quest-Realm-fantasy-gamebook/dp/0006924972/ref=sr_1_164?s=books&ie=UTF8&qid=1540557788&sr=1-164&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
KS1 Literacy Teachers Book: Year 1 (Teaching & learning Key Stage 1),"1,616,786","2,056.99",No Author Specified!!,Paperback,1840854510, 1840854510, 978-1840854510,https://www.amazon.co.uk/KS1-Literacy-Teachers-Book-Teaching/dp/1840854510/ref=sr_1_149?s=books&ie=UTF8&qid=1540557771&sr=1-149&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
The Yearling,"731,970","2,163.99",Marjorie Kinnan Rawlings,Paperback,8087888332, 8087888332, 978-8087888339,https://www.amazon.co.uk/Yearling-Marjorie-Kinnan-Rawlings/dp/8087888332/ref=sr_1_143?s=books&ie=UTF8&qid=1540557752&sr=1-143&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Framework Maths: Year 8: Homework Answer Book: Homework Answer Book Year 8,"2,212,474","2,951.99",Capewell et al,Paperback,0199149801, 0199149801, 978-0199149803,https://www.amazon.co.uk/Framework-Maths-Year-Homework-Answer/dp/0199149801/ref=sr_1_141?s=books&ie=UTF8&qid=1540557752&sr=1-141&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Misunderstanding at Pemberley: A Mr Darcy and Elizabeth Pride & Prejudice Variation,"1,705,472","2,816.99",Anna Grantham,Paperback,1544683456, 1544683456, 978-1544683454,https://www.amazon.co.uk/Misunderstanding-Pemberley-Elizabeth-Prejudice-Variation/dp/1544683456/ref=sr_1_138?s=books&ie=UTF8&qid=1540557752&sr=1-138&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Beyond Gender: from Subject to Drive,"2,293,029","2,139.10",Paul Verhaeghe,Paperback,1590510054, 1590510054, 978-1590510056,https://www.amazon.co.uk/Beyond-Gender-Subject-Paul-Verhaeghe/dp/1590510054/ref=sr_1_134?s=books&ie=UTF8&qid=1540557752&sr=1-134&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Gilded Prism: The Konstantinovichi Grand Dukes and the Last Years of the Romannov Dynsty,"2,198,941","2,110.99",Greg King,Paperback,0977196143, 0977196143, 978-0977196142,https://www.amazon.co.uk/Gilded-Prism-Konstantinovichi-Romannov-Dynsty/dp/0977196143/ref=sr_1_130?s=books&ie=UTF8&qid=1540557752&sr=1-130&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
"Letts 11+ Success - Non-Verbal Reasoning: Targeted Practice by Williams, Neil R (2012) Paperback","2,947,816","2,000.00",No Author Specified!!,Paperback,B00HK3AQCM,Not available,Not available,https://www.amazon.co.uk/Letts-Success-Non-Verbal-Reasoning-Paperback/dp/B00HK3AQCM/ref=sr_1_127?s=books&ie=UTF8&qid=1540557740&sr=1-127&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
PINK FLOYD ANIMALS PVG,"2,367,238","2,000.00",Various,Paperback,0711910308, 0711910308, 978-0711910300,https://www.amazon.co.uk/PINK-FLOYD-ANIMALS-PVG-Various/dp/0711910308/ref=sr_1_124?s=books&ie=UTF8&qid=1540557740&sr=1-124&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Of Human Interaction: Johari Model,"1,792,885","2,122.26",Joseph Luft,Paperback,0874841984, 0874841984, 978-0874841985,https://www.amazon.co.uk/Human-Interaction-Johari-Model/dp/0874841984/ref=sr_1_118?s=books&ie=UTF8&qid=1540557740&sr=1-118&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
"New Zealand: 101 Coolest Things to Do in New Zealand (Auckland, Wellington, Canterbury, Christchurch, Queenstown, Travel to New Zealand, Budget Travel New Zealand)","372,290","2,000.00",101 Coolest Things,Paperback,1546470662, 1546470662, 978-1546470663,https://www.amazon.co.uk/New-Zealand-Wellington-Canterbury-Christchurch/dp/1546470662/ref=sr_1_114?s=books&ie=UTF8&qid=1540557740&sr=1-114&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
"Kilvert's Diary, 1870-79","2,303,431","2,086.99",Francis Kilvert,Paperback,1851709711, 1851709711, 978-1851709717,https://www.amazon.co.uk/Kilverts-Diary-1870-79-Francis-Kilvert/dp/1851709711/ref=sr_1_105?s=books&ie=UTF8&qid=1540557724&sr=1-105&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
The World Travellers' Manual of Homoeopathy,"2,115,356","2,402.71",Colin B. Lessell,Paperback,0852072422, 0852072422, 978-0852072424,https://www.amazon.co.uk/World-Travellers-Manual-Homoeopathy/dp/0852072422/ref=sr_1_104?s=books&ie=UTF8&qid=1540557724&sr=1-104&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Escapes (Flamingo),"2,512,368","2,949.99",Joy Williams,Paperback,000654407X, 000654407X, 978-0006544074,https://www.amazon.co.uk/Escapes-Flamingo-Joy-Williams/dp/000654407X/ref=sr_1_91?s=books&ie=UTF8&qid=1540557709&sr=1-91&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Hen Dy Ffarm/The Old Farmhouse (Trosiadau/Translations S.),"1,875,907","2,974.48",D. J. Williams,Paperback,1843230321, 1843230321, 978-1843230328,https://www.amazon.co.uk/Hen-Ffarm-Farmhouse-Trosiadau-Translations/dp/1843230321/ref=sr_1_90?s=books&ie=UTF8&qid=1540557709&sr=1-90&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
