Title,BSR,Price in £ (starting from),Author,Book Type,ASIN,ISBN-10,ISBN-13,URL
"[(Exploring Strategy with MyStrategyLab)] [ By (author) Gerry Johnson, By (author) Richard Whittington, By (author) Duncan Angwin, By (author) Patrick Regner, By (author) Kevan Scholes ] [January, 2014]","3,031,649","2,000.00",Gerry Johnson,Paperback,B00QAX65WS,Not available,Not available,https://www.amazon.co.uk/Exploring-Strategy-MyStrategyLab-Johnson-Whittington/dp/B00QAX65WS/ref=sr_1_444?s=books&ie=UTF8&qid=1540748230&sr=1-444&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
No Stop City: Archizoom Associati,"2,326,113","2,336.99",Andrea Branzi,Paperback,2910385396,2910385396,978-2910385392,https://www.amazon.co.uk/No-Stop-City-Archizoom-Associati/dp/2910385396/ref=sr_1_443?s=books&ie=UTF8&qid=1540748230&sr=1-443&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
The Picatrix,"2,217,483","2,373.99",Steven Ashe,Paperback,1446174751,1446174751,978-1446174753,https://www.amazon.co.uk/Picatrix-Steven-Ashe/dp/1446174751/ref=sr_1_438?s=books&ie=UTF8&qid=1540748230&sr=1-438&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
"Staradigm: A Blueprint for Spiritual Growth, Happiness, Success and Well-Being","2,037,326","2,429.07",Pao L. Chang,Paperback,1460949781,1460949781,978-1460949788,https://www.amazon.co.uk/Staradigm-Blueprint-Spiritual-Happiness-Well-Being/dp/1460949781/ref=sr_1_437?s=books&ie=UTF8&qid=1540748230&sr=1-437&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Jogo do Pau: The ancient art & modern science of Portuguese stick fighting,"2,073,920","2,419.99",MSc Luis Preto,Paperback,1480228141,1480228141,978-1480228146,https://www.amazon.co.uk/Jogo-Pau-ancient-Portuguese-fighting/dp/1480228141/ref=sr_1_436?s=books&ie=UTF8&qid=1540748230&sr=1-436&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Forced Submission,"1,795,131","2,000.00",Claire Thompson,Paperback,1490936556,1490936556,978-1490936550,https://www.amazon.co.uk/Forced-Submission-Claire-Thompson/dp/1490936556/ref=sr_1_434?s=books&ie=UTF8&qid=1540748230&sr=1-434&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Shadow War: The CIA's Secret War In Laos,"1,602,231","2,013.99",Kenneth Conboy,Paperback,1581605358,1581605358,978-1581605358,https://www.amazon.co.uk/Shadow-War-CIAs-Secret-Laos/dp/1581605358/ref=sr_1_428?s=books&ie=UTF8&qid=1540748211&sr=1-428&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Lyric Language Live - Italian (Lyric Language): Learn Italian the Fun Way!,"2,483,804","2,416.99",Rick Knowles,Paperback,1591259304,1591259304,978-1591259305,https://www.amazon.co.uk/Lyric-Language-Live-Italian-Learn/dp/1591259304/ref=sr_1_427?s=books&ie=UTF8&qid=1540748211&sr=1-427&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Iraqi Heat: Sas Operations Against Isis in Iraq,"1,380,816","2,392.99",Steve Stone,Paperback,1326110942,1326110942,978-1326110949,https://www.amazon.co.uk/Iraqi-Heat-Operations-Against-Isis/dp/1326110942/ref=sr_1_426?s=books&ie=UTF8&qid=1540748211&sr=1-426&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
"Ketogenic Diet: The Ultimate Guarantee Rapid Weight Loss Recipes For Beginners(Ketogenic Weight Loss, Ketogenic Cookbook Recipes, Clean Eating. Pot cookbook Recipes, Healthy Living)","1,168,023","2,475.99",Alicia Walters Stewart,Paperback,1544999410,1544999410,978-1544999418,https://www.amazon.co.uk/Ketogenic-Diet-Ultimate-Guarantee-Beginners/dp/1544999410/ref=sr_1_423?s=books&ie=UTF8&qid=1540748211&sr=1-423&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Guide to the Dragons Volume 3 (How to Train Your Dragon TV),"912,721","2,448.99",Cordelia Evans,Paperback,1481425684,1481425684,978-1481425681,https://www.amazon.co.uk/Guide-Dragons-Train-Your-Dragon/dp/1481425684/ref=sr_1_421?s=books&ie=UTF8&qid=1540748211&sr=1-421&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Volcanoes (Fascinating Facts About),"9,571,998","2,000.00",J Walker,Paperback,749651253,749651253,978-0749651251,https://www.amazon.co.uk/Volcanoes-Fascinating-Facts-About-Walker/dp/0749651253/ref=sr_1_411?s=books&ie=UTF8&qid=1540748191&sr=1-411&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Maigret and the Black Sheep,"8,612,342","2,000.00",Georges Simenon,Paperback,860092380,860092380,978-0860092384,https://www.amazon.co.uk/Maigret-Black-Sheep-Georges-Simenon/dp/0860092380/ref=sr_1_409?s=books&ie=UTF8&qid=1540748191&sr=1-409&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
